Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR32114963,2025-01-24 17:31:25,2025-01-24 17:20:13,81203,23796238,81203,293,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114963/SRR32114963.lite.1,SRX27461465,DNA-250122FOR-287,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887297,SAMN46403931,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1015,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,FF4E3608C3536CEA72711ED370F56932,F0E0CCB60E06C3A2922235458707EDB0
SRR32115175,2025-01-24 17:37:07,2025-01-24 17:26:03,77213,23020982,77213,298,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115175/SRR32115175.lite.1,SRX27461802,DNA-250122FOR-384,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887635,SAMN46404028,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1070,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,E0A2F6299A7EDB1C257DEC801A0056CD,60EF2F46F2DE5E790F825521F31A2FF8
SRR32115085,2025-01-24 17:37:06,2025-01-24 17:25:48,119117,35652193,119117,299,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115085/SRR32115085.lite.1,SRX27461892,DNA-250122FOR-87,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887725,SAMN46403731,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1083,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,3CA9F05966525D7554C938426B75C2A3,8ABD3E30D4712093F8C41E6B9C4115ED
SRR32114762,2025-01-24 17:23:16,2025-01-24 17:09:26,153580,46099239,153580,300,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114762/SRR32114762.lite.1,SRX27461666,DNA-250122FOR-146,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887499,SAMN46403790,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1090,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,850C2F74E0CB3DAD69A7E1E556D6A8F6,3D61E884299D78DF4FBF539021EF1EBA
SRR32114971,2025-01-24 17:31:25,2025-01-24 17:19:53,110415,33232602,110415,300,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114971/SRR32114971.lite.1,SRX27461457,DNA-250122FOR-280,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887290,SAMN46403924,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1093,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,A9A0FB1030BC61905B485571A155D759,491366E22FD0189FD92848CE38B01159
SRR32115160,2025-01-24 17:37:04,2025-01-24 17:26:12,62768,18104084,62768,288,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115160/SRR32115160.lite.1,SRX27461817,DNA-250122FOR-455,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887650,SAMN46404099,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1106,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,D177F4493D8D93CAE2349927BB3E73C4,C6BF5A92DA2ECC0D5800A6D4A0E3172D
SRR32115127,2025-01-24 17:37:01,2025-01-24 17:25:48,64305,18443918,64305,286,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115127/SRR32115127.lite.1,SRX27461850,DNA-250122FOR-542,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887683,SAMN46404186,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1116,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,B48EC9C2379C7AC42345BCCC4DEBAB7F,1911B1FF3ABE73F4D9CC40085E530F00
SRR32114919,2025-01-24 17:31:28,2025-01-24 17:19:41,57141,15651254,57141,273,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114919/SRR32114919.lite.1,SRX27461509,DNA-250122FOR-355,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887342,SAMN46403999,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1142,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,977CBEC6F22F1050426DB42B56AC90AA,865066424BFDABFD80DA3D5EC8F31169
SRR32115249,2025-01-24 17:36:57,2025-01-24 17:26:11,59547,17892595,59547,300,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115249/SRR32115249.lite.1,SRX27461728,DNA-250122FOR-260,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887561,SAMN46403904,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1155,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,FA16B3F98B8408895B6DF623F6275613,20E9C4C1CC649D064150356A0D4DC48E
SRR32115084,2025-01-24 17:37:06,2025-01-24 17:25:57,88739,26667555,88739,300,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115084/SRR32115084.lite.1,SRX27461893,DNA-250122FOR-88,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887726,SAMN46403732,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1174,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,6DE0C16FDA1B63F0A27D02DF410AF4CC,F18C10039A0946A4BBF113B6FCA30BD6
